fid,id,N37W123,X,Y
"133","1",,6092973.2209000001,2134644.4723999999
"134","1",,6093973.2209000001,2134644.4723999999
"135","1",,6094973.2209000001,2134644.4723999999
"136","1",,6095973.2209000001,2134644.4723999999
"137","1",,6096973.2209000001,2134644.4723999999
"138","1",,6097973.2209000001,2134644.4723999999
"139","1",,6098973.2209000001,2134644.4723999999
"140","1",,6099973.2209000001,2134644.4723999999
"141","1",,6100973.2209000001,2134644.4723999999
"142","1",,6101973.2209000001,2134644.4723999999
"143","1",,6102973.2209000001,2134644.4723999999
"144","1",,6103973.2209000001,2134644.4723999999
"145","1",,6104973.2209000001,2134644.4723999999
"146","1",,6105973.2209000001,2134644.4723999999
"147","1",,6106973.2209000001,2134644.4723999999
"148","1",,6107973.2209000001,2134644.4723999999
"149","1",,6108973.2209000001,2134644.4723999999
"150","1",,6109973.2209000001,2134644.4723999999
"151","1",,6110973.2209000001,2134644.4723999999
"152","1",,6111973.2209000001,2134644.4723999999
"153","1",,6112973.2209000001,2134644.4723999999
"154","1",,6113973.2209000001,2134644.4723999999
"155","1",,6114973.2209000001,2134644.4723999999
"156","1",,6115973.2209000001,2134644.4723999999
"157","1",,6116973.2209000001,2134644.4723999999
"158","1",,6117973.2209000001,2134644.4723999999
"159","1",,6118973.2209000001,2134644.4723999999
"160","1",,6119973.2209000001,2134644.4723999999
"161","1",,6120973.2209000001,2134644.4723999999
"162","1",,6121973.2209000001,2134644.4723999999
"163","1",,6122973.2209000001,2134644.4723999999
"164","1",,6123973.2209000001,2134644.4723999999
"165","1",,6124973.2209000001,2134644.4723999999
"166","1",,6125973.2209000001,2134644.4723999999
"167","1",,6126973.2209000001,2134644.4723999999
"168","1",,6127973.2209000001,2134644.4723999999
"169","1",,6128973.2209000001,2134644.4723999999
"170","1",,6129973.2209000001,2134644.4723999999
"171","1",,6130973.2209000001,2134644.4723999999
"172","1",,6131973.2209000001,2134644.4723999999
"173","1",,6132973.2209000001,2134644.4723999999
"174","1",,6133973.2209000001,2134644.4723999999
"175","1",,6134973.2209000001,2134644.4723999999
"176","1",,6135973.2209000001,2134644.4723999999
